address,experience1,experience2,experience3,experience4,category,city,description,displayTitle,email,image1,image2,image3,image4,name,phone,subTitle,website,zipcode
W6026 Lake Drive,,,,,Supper Club,Shawano,"Classic’s is a nostalgic, rock n’ roll themed restaurant and lounge.  We offer a full menu of steaks, seafood, appetizers, sandwiches and daily bar specials. We also host live music every Friday and Saturday evening.",,Classics54166@yahoo.com,,,,,Classic’s Restaurant & Lounge,715-524-8711,,www.classicsshawano.com,54166
1027 E Grand Avenue,,,,,Coffee,Rothschild,"A bright light in the community, Clean Slate is a small & locally owned coffee shop.",,cleanslatecoffeehouse@gmail.com,,,,,Clean Slate Coffee House,7152980394,,,54474
8599 Big St Germain Drive,,,,,Supper Club,St Germain,"Our vertical log structure has been family owned since 1918 and by our family since 1996. Our menu features prime rib, steaks, pasta dishes and more. We are located on Big St. Germain Lake where we also manage North Shore Rental.",,krsnielsen@icloud.com,,,,,Clearview Supper Club,715-542-3474,,clearviewsupperclub.com,54558
4642 Nicolet Drive,,,,,Supper Club,Green Bay,"At Club Chalet, a Supper Club is an experience that brings people together like no other. It’s a time to slow down, enjoy friends, family, and loved ones, and experience an unforgettable time at this old-fashioned Supper Club!",,,,,,,Club Chalet,920-866-2341,,www.clubchaletgb.com,54311
223 W Maple Street,,,,,Coffee,Lancaster,"We have a wide variety of both food and drink options as well as accommodations to gluten free, dairy free, vegetarian and vegan customers. From burritos to paninis, coffee to fresh pressed juice, our extensive menu and impressive list of flavors has choices to suit almost anyone. ",,thecoffeetreellc@gmail.com,,,,,Coffee Tree,712-261-0562,,,53813
N4330 County Road E,,,,,Supper Club,Kaukauna,We are passionate about creating a unique dining experience for guests. We are known for serving the most delicious buffets and mouth-watering chicken in town.  We also have a banquet facility that can serve up to 400 guests for weddings and private parties.,,,,,,,Colonial House Supper Club,920-788-2622,,colonialhousesupperclub.com,54130
25811 119th Street,,,,,Supper Club,Trevor,"We are a historical establishment with great Steaks, and a colorful menu also including Seafood, Prime Rib, Friday Fish Fry & more.",,colonyhouse@wi.twcbc.com,,,,,Colony House Restaurant,262-862-2076,,colonyhouserestaurant.co,53179
1718 W Park Street,,,,,"Coffee, Brewery, Restaurant",Two Rivers,"Cool City Coffee offers amazing high quality coffee, espresso drinks, teas, smoothies, and pastries conveniently from the drive-thru, and at the bar inside Cool City Brewing Company, downtown Two Rivers WI.; where food, beer, and coffee are served 6 days a week. ",,,,,,,Cool City Coffee Shop,9206571325,,https://www.coolcitybrewing.com/coffee,54241
W7115 Dakota Avenue,,,,,Supper Club,Westfield,Family Owned Supper Club sitting above beautiful Wood Lake in the northwest corner of Marquette County.,,DSessler@generalkinematics.com,,,,,Crystal's Wood Lake Supper Club,608-296-4129,,,53964
124 E Walnut St #124,,,,,Coffee,Green Bay,"A local shop in the heart of Downtown Green Bay specializing in espresso drinks, we come out with new special drinks every month. Our motto is create good coffee and make people happy and that is always our goal!",,dailybuzzgreenbay@gmail.com ,,,,,Daily Buzz,9209400130,,http://www.dailybuzzgb.com/,54301
506 Broadway Street,,,,,Coffee,Sheboygan Falls,"Day Dream Cafe is located in the heart Historic Downtown Sheboygan Falls. Grab a latte or cold brew and walk to one of many observation points to view the falls or stroll the River Walk. Serving breakfast & lunch and offering sweet treats, paninis, wraps, salads and fresh soups.",,sarahkoene@gmail.com,,,,,Daydream Cafe,9204679661,,http://daydreamcafe.net/,53085
449 Grand Canyon Drive,,,,,Supper Club,Madison,"Delaney’s Steak Seafood Wine in Madison has managed to stay in business for more than 50 years! We are able to achieve this because we only use the best quality ingredients. In addition, we have excellent chefs that work together to create a mouthwatering array of appetizers, entrees, & desserts!",,,,,,,Delaney's,608-833-7337,,www.experiencedelaneys.com,53719
8215 W Race Street,,,,,Supper Club,Orfordville,"The Ding-A-Ling Supper Club features succulent steaks, mouth-watering prime rib, lobster, BBQ ribs and a variety of specialty dishes all served up with a smile, and at a price that will leave enough in your wallet for a handmade after-dinner ice cream drink.",,kkwilke@hotmail.com,,,,,Ding-A-Ling Supper Club,608-879-9209,,,53576
N8240 County Road E,,,,,Supper Club,Watertown,"Our Supper Club is open Friday-Sunday. We offer Prime Rib, German dishes, seafood, steaks, and a full salad bar. Our old fashioneds are hand-muddled. Join us for a relaxing great evening.",,,,,,,Donny's Girl II,920-262-1919,,,53094
5773 WI-42,,,,,Coffee,Sturgeon Bay,"Door County Coffee has been roasting gourmet coffee for 30 years in small batches, to perfection. Our shop offers brewed coffee, hand-crafted drinks, a breakfast and lunch menu plus homemade bakery items.",,allie@doorcountycoffee.com,,,,,Door County Coffee,8008566613,,https://doorcountycoffee.com/,54235
3958 Eagle Waters Road,,,,,Supper Club,Eagle River,"Once you experience our spectacular sunsets and eagles in flight, you will understand. Eagle Waters is a Historic Four Season Supper Club, known for Friday night Fish Fry, and Holiday Champagne Brunches.",,abbey@eaglewaters.com,,,,,Eagle Waters Resort,715-479-4411,,eaglewaters.com,54521
340 S Pier Drive,,,,,Coffee,Sheboygan,"On the Sheboygan Riverwalk, eb flo is a spacious, modern cafe with delicious food and amazing views. Our single-origin coffees are sourced and roasted by Weeden Creek Coffee Roasters, here in Sheboygan, Wisconsin.Don’t miss our croffles, a cross between a croissant and a waffle.",,Hello@ebflo.com,,,,,eb flo coffeehouse,9209179113,,http://ebflo.com/,53081
5221 E 4th Street,,,,,Supper Club,Superior,Eddie’s has been a staple in the Superior/Duluth community for over 70 years. We serve numerous local drink options on top of an outstanding menu including the best ribs in the top half of Wisconsin & Minnesota.,,eddiesribssuperior@gmail.com ,,,,,Eddie's World Famous Ribs,715-398-0191,,www.eddiesribs.com,54880
695 US-2,,,,,Supper Club,Florence,"When El Capitan started, it served quality Italian food in an enjoyable atmosphere. The same holds true today as all of our pasta, sauces, bread and meatballs are prepared by hand in our kitchen. Our steaks are USDA Choice Steer. We offer a large wine menu and a full bar.",,info@elcapitansupperclub.com,,,,,El Capitan Supper Club,715-696-3493,,www.elcapitansupperclub.com,54121
200 N 2nd Street,,,,,Supper Club,Watertown,"We are Supper Club “purists”, offering a lazy Susan relish tray before meals, dry-aged prime rib, seafood, schnitzel, baked French onion soup, schaum torte, and a variety of ice cream drinks. We offer an all-you-can-eat fish fry on Friday nights with additional menu items for those who don’t care for fish. ",,theeliasinn22@gmail.com,,,,,Elias Inn Supper Club,920-261-6262,,eliasinn.com,53094
531 N Main Street,,,,,Coffee,Oshkosh,"ELSEWHERE is a one-of-a-kind coffeeshop in Downtown Oshkosh. Inside the historic space you’ll find delicious drinks, breakfast items, and sandwiches. Sit and sip or head over to The Market which is stocked with thoughtfully selected housewares, gifts & florals from markets near and far.",,kkane@gibsonsocialclub.com,,,,,Elsewhere Coffeehouse,7155710713,,https://www.theelsewheremarket.com/?utm_source=GMBListing&utm_medium=organic,54901
1009 1st St Suite A,,,,,Coffee,Stevens Point,"Emy J’s Coffeehouse & Vault’s mission is to provide fair-trade, Organic, roasted in-house coffee to our community while creating a family-friendly, inclusive, homelike environment in our locally owned spaces.",,"emyjshana@gmail.com, emyjshana@gmail.com",,,,,Emy J's CoffeeHouse,7153450471,,,54481
1095 Apollo Road,,,,,Supper Club,Black River Falls,"Evergreens is like a log cabin in the middle of nowhere with a woodsy and welcoming atmosphere. Located between Cataract and Millston, don’t miss the Prime Rib, which is second-to-none. Grab an Old Fashioned made with an old family recipe at our outdoor bar.",,evergreenssupperclub@outlook.com,,,,,Evergreens Supper Club,608-272-3202,,evergreenssupperclub.com,54615
W3741 US-10,,,,,Supper Club,Neillsville,"With a gorgeous bar, classic Supper Club meals, and a motel, Fannie’s is the perfect destination for your Supper Club explorations!",,melissa@fanniessupperclub.com,,,,,Fannie's Supper Club & Motel,715-743-2169,,fanniessupperclub.com,54456
6012 County K,,,,,Supper Club,Rhinelander,"Fireside Supper Club is a well-established, full-service restaurant that overlooks Townline Lake. We specialize in steaks, seafood, ribs, poultry and more. Guests are treated to a relaxing dining experience with great food, friendly service, and a homey cabin-like feel.",,firesideonthelake@gmail.com,,,,,Fireside Supper Club,715-369-4717,,firesidesupperclub.com,54501
2166 Atwood Avenue,,,,,Coffee,Madison,"Your neighborhood bar for all things craft beer, craft coffee and cold brew. You’ll find nitro cold brew, full espresso bar, tea, lemonade, and beer. Plus the perfect atmosphere to start or end your day. Come, see what we have to offer!",,drink@forwardcraft.com,,,,,Forward Craft & Coffee,6084676325,,https://forwardcraft.com/,53704
119 N Water Street,,,,,Coffee,Sparta,"Right next to Beaver Creek is a clean, warm, and friendly coffee shop. Franklin serves up craft coffee, tea, smoothies, breakfast and homemade baked goods with a smile.",,Franklincoffee110@gmail.com,,,,,Franklin Coffee House,6084878100,,,54656
118 Merchant Row,,,,,Supper Club,Milton,"Prime Rib nightly, Fish Fry Fridays, fresh seafood and certified angus steaks. Reservations available daily.",,,,,,,Fredrick's Supper Club,608-868-2966,,,53563
41 N Wisconsin Street,,,,,Coffee,Elkhorn,"We’re a family owned coffee and ice cream shop that offers coffee, ice cream, malts, smoothies, homemade fudge, house made bakery items, fresh paninis, salads and soups. You will also find a boutique and a unique gift shop.",,friendsonthesquare@hotmail.com,,,,,Friends on the Square,2627232909,,,53121
184 S 2nd Street,,,,,Coffee,Milwaukee,"“Full of Beans” means something is fun, active and spunky. Full of Beans Cafe has a unique and creative atmosphere. Not only are there beverages and food, they also have maker & craft nights, book clubs, and more.",,rob.fullofbeans@gmail.com,,,,,Full of Beans Cafe,4145396448,,http://fullofbeanscafe.com/,53204
1160 N Westhaven Drive,,,,,Supper Club,Oshkosh,"Gabe’s is a modern approach to a Wisconsin Supper Club. Gabe’s prides itself on recreating 2 Gabelbauer family recipes, Dad’s Beer Can Chicken, and Mom’s Pot Roast across the menu. Brunch on Sat & Sun.",,,,,,,Gabe's Wisconsin Kitchen & Tavern,920-230-2818,,www.gabeswi.com,54904
23040 Garmisch Road,,,,,Supper Club,Cable,"Garmisch has operated for decades as one of the area’s premier resorts. Nestled among the towering trees on a quiet bay of Lake Namakagon, you’ll find guest cabins, comfortable lodge rooms, a classic Northwoods lodge, and a full-service Supper Club and bar.",,garmischresortusa@gmail.com,,,,,Garmisch USA Resort,800-794-2204,,www.garmischresort.com,54821
620 N Main Street,,,,,Coffee,Bruce,"Local is our specialty, local bakery, local crafts, local meats. Our baristas are ready to make you a café au lait, americano,cappuccino, frappe or latte with vanilla, caramel, hazelnut, almond, or mocha flavor.Hot or cold is up to you!",,gatewaygourmets@gmail.com,,,,,Gateway Gourmets,7154030968,,https://www.gatewaygourmets.com/,54819
4103 County Road B,,,,,Supper Club,Land O' Lakes,Enjoy a unique dining experience in the beautiful and historic Gateway Lodge Restaurant. Choose from a variety of entrées! Check our menu and you will find the perfect meal for you.,,gateway.lodge38@gmail.com,,,,,Gateway Lodge Restaurant & Lounge,715-547-3321,,gateway-lodge.com,54540
N110 WI-42,,,,,Supper Club,Kewaunee,Gib’s on the Lake is a high quality Supper Club where every dish is created using only the finest and fresh ingredients. Gib’s on the Lake is a quality steak house using beef that is USDA Choice or higher.,,gibsonthelake@gmail.com,,,,,Gib's on the Lake,920-776-1551,,www.gibsonthelake.com,54216
101 N Military Road,,,,,Supper Club,Stockbridge,"Serving delicious seafood, Friday Fish Frys, succulent steaks, stuffed or Oscar tenderloin, and prime rib. Open Wednesday - Sunday.",,,,,,,Gobbler's Knob Supper Club,920-439-1265,,gobblersknob.net,53088
36 W Montello Street,,,,,Supper Club,Montello,"Join us at Granite Falls Supper Club where our friendly staff will warmly welcome you to our cozy Supper Club. Here, you will experience our old-time vibe and enjoy your favorite Supper Club dishes!",,,,,,,Granite Falls Supper Club,608-297-1999,,,53949
8906 Forest View Road,,,,,Supper Club,Kewaskum,"Great Outdoors offers a unique dining experience that pays tribute to the 1988 movie. With a blend of traditional & innovative ideas, we cater to a diverse range of tastes and provides a welcoming atmosphere for both locals and visitors alike.",,joel@greatoutdoorssupperclub.com,,,,,Great Outdoors Supper Club,262-334-7977,,www.greatoutdoorssupperclub.com,53040
308 Main Street,,,,,Coffee,La Crosse,"In 2003, our goal was creating a place where the community could gather and enjoy great coffee. Since then, we’ve added food, beer, wine, local art, live music, and a dog-friendly outdoor patio. Over time, brewing methods evolve and tastes change, but we continue to stay true to our passion of serving quality food and drinks in a safe and welcoming environment in the heart of downtown La Crosse.",,Sarah@GroundedPatioCafe.com,,,,,Grounded Patio Cafe,6087845282,,http://www.groundedpatiocafe.com/,54601
4042 Popes Road,,,,,Supper Club,Woodruff,"Gresham Lodge opened its doors again in 2023 with the mission of offering the best food in the best atmosphere. We are known for our generous portions of smoked BBQ, fresh fish, and seafood.Save room for dessert!",,elanaseidler@gmail.com,,,,,Hank's Gresham Lodge,,,,54568
5262 Lakeview Avenue,,,,,Supper Club,Mercer,Heart of the North was established in 1958 as a northwoods bar & grill. It quickly became a local favorite. Current owners purchased in 2014 and transitioned the Heart into a full service restaurant with Supper Club quality food in a casual atmosphere.,,blondie072685@gmail.com,,,,,Heart of the North Bar & Grill,,,,54547
1101 W North Avenue,,,,,Supper Club,Little Chute,"At your table you will be greeted with a relish tray and warm bread. Pick from an array of steak, chicken and seafood options. End your night with a delicious ice cream drink.",,heitingmelissa@gmail.com ,,,,,Heiting Place Supper Club,920-788-6697,,,54140
9140 W National Avenue,,,,,Supper Club,West Allis,"A casual neighborhood steakhouse, with delicious food and a martini for every occasion! Located in West Allis, WI on 92nd and National.",,henryflachwa@gmail.com,,,,,Henry Flach's,414-543-1060,,www.henryflach.com,53227
6900 Co Rd HHH,,,,,Supper Club,Ridgeway,"Hi Point Steakhouse has become known as one of Southern Wisconsin’s premier Supper Clubs. We take pride in serving aged, hand-cut steaks, great seafood, delicious desserts, and cocktails.Hours: Tuesday-Sunday the lounge opens at 4. The dining room opens at 4:30.",,hipointsteakhouse@hotmail.com,,,,,Hi Point Steakhouse,608-924-2819,,www.hipointsteakhouse.com,53582
4825 Bennett Road,,,,,Supper Club,Benton,"Old school, cozy Supper Club with a Northwoods atmosphere serving delicious chicken, steaks and seafood. Enjoy our excellent salad bar! Our friendly staff looks forward to serving you.",,shultzie389@gmail.com,,,,,Hideaway Acres,608-759-4410,,,53803
W 7766 Perkinstown Avenue,,,,,Supper Club,Medford,"High View Inn, located on Beautiful Lake Esadore, has a friendly staff serving classic Supper Club fare.  Including but not limited to Prime Rib, Steaks, Seafood, Pastas, Friday Fish Fry and always homemade soups.  Also, a large exclusive bourbon selection to compliment a full bar.",,juliamphillips1970@gmail.com,,,,,High View Inn,715-785-7847,,,54451
N10120 Parkway Road,,,,,Supper Club,Crivitz,Located 14 miles Northwest of Crivitz on Parkway Road on the Iron Snowshoe Recreation & ATV Trails. We look forward to welcoming you to our Supper Club! Please call us at 715-757-3522 for our Supper Club hours.,,,,,,,Hilltop Resort,715-757-3522,,,54114
160 Keenan Ct Suite 1,,,,,Coffee,Verona,Hodge Podge is a coffee & cocktail bar focused on supporting local and sustainability. Most ingredients are sourced from other local small businesses - including coffee beans from Stone Creek Coffee. All organic waste is composted and all glassware and furniture is second-hand.,,admin@hodgepodgemadison.com,,,,,Hodge Podge Coffee & Cocktail Bar,6089018358,,http://hodgepodgemadison.com/,53593
210 S Main Street,,,,,Supper Club,Seymour,"Hotel Seymour offers the best in fine dining bringing you a menu full of delicious options! Choose from carefully crafted appetizers, entrées including steak, ribs, seafood, and pasta. Try our sandwiches, flatbreads, and don’t forget dessert.",,Missy.hagel@gmail.com,,,,,Hotel Seymour Supper Club,920-833-6441,,hotelseymour.com,54165
N3241 Co Trunk H,,,,,Coffee,Lake Geneva,"The new “Rock & Roll Café” that has coffee, beer, wine, soft drinks, pizza, sandwiches, and live music!  With both indoor and outdoor seating and will deliver delicious food including pizzas right from stone fire oven.",,chris@LGHOM.com,,,,,House of Music Cafe,2622035162,,https://www.lghom.com/music-cafe,53147
107 Indianhead Shores Drive,,,,,Supper Club,Balsam Lake,"Indianhead Supper Club is a classic Supper Club with great food and cocktails and an atmosphere that will make you want to came back again and again...",,jan.hansen@lakeland.ws,,,,,Indianhead Supper Club,715-485-3359,,www.indianheadsupperclub.com,54810
